folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
1800453205,1,TB11,3000,0,1491.71
1800458506,1,TB07,1014, ,2943.87
1800458506,1,TB01,800, ,2322.58
1800458506,1,TB03,1920, ,5574.19
1800537501,1,TB08,897,0,877.49
1800537504,1,TB08,500,500,489.13
1800537505,1,TB11,12000,0,5869.56
1800537505,1,TB08,745,0,728.8
1800537505,1,TR03,650, ,1887.09
1800537505,1,TR08,400,0,391.3
1800539606,1,TB08,1640,1640,1604.34
1800555303,1,TB12,3500,3500,1711.95
1800555304,1,TB01,2000, ,5806.45
1800555304,1,TB08,2630,800,2572.82
1800555304,1,TB07,1356, ,3936.77
1800555304,1,TB05,2500, ,7258.06
1800555304,1,TB02,216, ,627.09
1800555304,1,TB03,358, ,1039.35
1800555304,1,TB09,35,0,34.23
1800578502,1,TB13,9500,3500,4646.73
1800578502,1,TB08,3159,0,3090.32
1800578502,1,TB05,1400, ,4064.51
1800578502,1,TB03,5202, ,15102.58
1800578502,1,TB04,7000, ,20322.58
1800578502,1,TB01,4000, ,11612.9
1800578502,1,TB02,540, ,1567.74
1800578504,1,TB08,1760,0,1721.73
1800578505,1,TB11,9495,0,4644.29
1800614801,1,TB12,46600,3000,22918.03
1800614801,1,TB08,900,0,880.43
1800614803,1,TB08,1750,1750,1711.95
1800614804,1,TB10,5400,5400,5282.6
1800614804,1,TR01,4000, ,12000
1800614804,1,TB09,1800,1800,1760.86
1800614804,1,TB08,3040,0,2973.91
1800614804,1,TB07,549, ,1647
1800639306,1,TB08,1600,0,1565.21
1800654806,1,TB08,700,700,684.78
1800699403,1,TB08,760,0,743.47
1800699403,1,TB11,3000,0,1467.39
1800699403,1,TB12,1400,0,684.78
1800699403,1,TR12,1800,1800,880.43
1800699404,1,TB11,7000,0,3423.91
1800699404,1,TR09,300,300,293.47
1800728002,1,TB08,980,0,958.69
1800728002,1,TB11,7600,5600,3717.39
1800740403,1,TB12,8000,0,3913.04
1800740403,1,TB08,7100,7100,6945.65
1800740403,1,TB11,20850,0,10198.36
1800740404,1,TB08,15329,1779,14995.76
1800740404,1,TB11,800,0,391.3
1800740406,1,TB08,3867,1467,3782.93
1800749403,1,TB11,27000,0,13206.52
1800749403,1,TB08,5970,0,5840.21
